year;film;detail_url;producer(s);production_company(s);wiki_url;winner;production_company;release_dates;running_time;budget;cinematography;country;directed_by;distributed_by;edited_by;language;music_by;produced_by;screenplay_by;starring;story_by;title;written_by;id_json;based_on;box_office;narrated_by;production_companies
1927 / 28 [A]  (1st);Wings;http://oscars.yipitdata.com/films/Wings_(1927_film);Lucien Hubbard;Paramount , Famous Players-Lasky;http://en.wikipedia.org/wiki/Wings_(1927_film);True; Famous Players-Lasky ;   August 12, 1927 ( 1927-08-12 )       ;Original release: 111 minutes [ 2 ]  Restoration: 144 minutes [ 3 ]  reelage - 13;US$ 2 million [ 4 ];Harry Perry;United States;William A. Wellman;Paramount Pictures;E. Lloyd Sheldon  Uncredited: Lucien Hubbard;Silent film English intertitles;J.S. Zamecnik  ( uncredited );Lucien Hubbard  Adolph Zukor  Jesse L. Lasky  B. P. Schulberg  Otto Hermann Kahn [ 1 ] [ a ];Hope Loring  Louis D. Lighton;"Clara Bow  Charles ""Buddy"" Rogers  Richard Arlen  Gary Cooper";John Monk Saunders;Wings;Titles:  Julian Johnson;0;;;;
1927 / 28 [A]  (1st);The Racket;http://oscars.yipitdata.com/films/The_Racket_(1928_film);Howard Hughes;Paramount, Caddo;http://en.wikipedia.org/wiki/The_Racket_(1928_film);False; The Caddo Company ;   November 1, 1928 ( 1928-11-01 )       ;84 minutes;;Tony Gaudio;United States;Lewis Milestone;Paramount Pictures;Eddie Adams;silent film  English intertitles;;Howard Hughes;;Thomas Meighan  Marie Prevost  Louis Wolheim;;The Racket;Bartlett Cormack  Tom Miranda  Harry Behn  (uncredited);1;;;;
1927 / 28 [A]  (1st);Seventh Heaven;http://oscars.yipitdata.com/films/Seventh_Heaven_(1927_film);William Fox;Fox;http://en.wikipedia.org/wiki/Seventh_Heaven_(1927_film);False;;   May 6, 1927 ( 1927-05-06 )  (Los Angeles)  May 25, 1927 ( 1927-05-25 )  (New York City)  September 10, 1927 ( 1927-09-10 )  (New York City (re-release))     ;110 min;$1.3 million [ 1 ];Ernest Palmer  Joseph A. Valentine;United States;Frank Borzage;Fox Film Corporation;Harry H. Caldwell Katherine Hilliker;Silent film  English intertitles;;William Fox;Benjamin Glazer;Janet Gaynor  Charles Farrell  Ben Bard;;Seventh Heaven;Harry H. Caldwell (titles) Katherine Hilliker (uncredited)   Bernard Vorhaus (uncredited);2;Seventh Heaven  by Austin Strong;$2.5 million;;
1928 / 29  (2nd);The Broadway Melody;http://oscars.yipitdata.com/films/The_Broadway_Melody;Irving Thalberg & Lawrence Weingarten;Metro-Goldwyn-Mayer  [L];http://en.wikipedia.org/wiki/The_Broadway_Melody;True;;February 1, 1929 ( 1929-02-01 )  ( Grauman's Chinese Theatre ) [ 1 ];100 minutes;;John Arnold;United States;Harry Beaumont;Metro-Goldwyn-Mayer;Sam S. Zimbalist William LeVanway;English;Nacio Herb Brown  George M. Cohan  Willard Robison;Irving Thalberg  Lawrence Weingarten;;Charles King  Anita Page  Bessie Love  Jed Prouty;Edmund Goulding;The Broadway Melody;Sarah Y. Mason (continuity) Norman Houston (dialogue)  James Gleason  (dialogue) Earl Baldwin (titles);3;;$3 million [ 2 ];;
1928 / 29  (2nd);Alibi;http://oscars.yipitdata.com/films/Alibi_(1929_film);Roland West;United Artists , Feature Productions;http://en.wikipedia.org/wiki/Alibi_(1929_film);False;;April 20, 1929 ( 1929-04-20 );90 minutes;;Ray June;United States;Roland West;United Artists;;English;;Roland West;;Chester Morris  Mae Busch;;Alibi;Elaine Sterne Carrington;4;;;;
1928 / 29  (2nd);Hollywood Revue;http://oscars.yipitdata.com/films/The_Hollywood_Revue_of_1929;Harry Rapf;Metro-Goldwyn-Mayer;http://en.wikipedia.org/wiki/The_Hollywood_Revue_of_1929;False;;June 20, 1929  (Los Angeles) [ 1 ];116 minutes;US$426,000 [ 2 ];John Arnold  Max Fabian  Irving G. Ries  John M. Nickolaus;United States;Charles Reisner;Metro-Goldwyn-Mayer;William S. Gray  Cameron K. Wood;English;"Gus Edwards  Arthur Freed ("" Singin' in the Rain "")  Nacio Herb Brown (""Singin' in the Rain"")";Irving Thalberg  Harry Rapf;;Conrad Nagel  Jack Benny  Joan Crawford  Marion Davies  Anita Page  Marie Dressler  William Haines  Buster Keaton  Stan Laurel  Oliver Hardy  Gus Edwards;;Hollywood Revue;Al Boasberg  Robert E. Hopkins  Joseph Farnham;5;;$1,561,000 [ 3 ];;
1928 / 29  (2nd);In Old Arizona;http://oscars.yipitdata.com/films/In_Old_Arizona;Winfield Sheehan [G];Fox;http://en.wikipedia.org/wiki/In_Old_Arizona;False;;Los Angeles : December 25, 1928 ( 1928-12-25 )  General release: January 20, 1929 ( 1929-01-20 );95 minutes;;Arthur Edeson  Alfred Hansen;United States;Irving Cummings  Raoul Walsh;Fox Film Corporation;Louis R. Loeffler;English;;Winfield Sheehan;;Warner Baxter  Edmund Lowe  Dorothy Burgess;;In Old Arizona;Tom Barry;6;;$1.3 million [ 1 ];;
1928 / 29  (2nd);The Patriot;http://oscars.yipitdata.com/films/The_Patriot_(1928_film);Ernst Lubitsch;Paramount;http://en.wikipedia.org/wiki/The_Patriot_(1928_film);False;;August 17, 1928 ( 1928-08-17 );113 minutes;$1 million;Bert Glennon;United States;Ernst Lubitsch;Paramount Pictures;Ernst Lubitsch;Silent film English sequences;Max Bergunker;;;Emil Jannings  Florence Vidor  Lewis Stone  Neil Hamilton;;The Patriot;Hanns Kräly  Ashley Dukes  (Play);7;;;;
1929 / 30 [B]  (3rd);All Quiet on the Western Front;http://oscars.yipitdata.com/films/All_Quiet_on_the_Western_Front_(1930_film);Carl Laemmle, Jr.;Universal;http://en.wikipedia.org/wiki/All_Quiet_on_the_Western_Front_(1930_film);True; Universal Studios ;   August 24, 1930 ( 1930-08-24 )  (US [ 1 ] )       ;152 minutes [ 1 ] 133 minutes (restored);$1.2 million [ 2 ];Arthur Edeson;United States;Lewis Milestone;Universal Pictures;Edgar Adams;English;David Broekman;Carl Laemmle, Jr.;;Lew Ayres  Louis Wolheim;;All Quiet on the Western Front;Maxwell Anderson  (adaptation & dialogue)  George Abbott  (screenplay)  Del Andrews  (adaptation)  C. Gardner Sullivan  (supervising story chief);8;All Quiet on the Western Front  by Erich Maria Remarque;$1.5 million (US) [ 3 ] $3,000,000 [ 4 ]  (rentals);;
1929 / 30 [B]  (3rd);The Big House;http://oscars.yipitdata.com/films/The_Big_House_(1930_film);Irving Thalberg;Metro-Goldwyn-Mayer;http://en.wikipedia.org/wiki/The_Big_House_(1930_film);False; A Cosmopolitan Production ;June 24, 1930 [ 1 ];87 minutes;;Harold Wenstrom;United States;George Hill;Metro-Goldwyn-Mayer;Blanche Sewell;English;no credit;no credit;Story and dialogue by Frances Marion Additional dialogue by Joe Farnham and Martin Flavin;Chester Morris  Wallace Beery  Lewis Stone  Robert Montgomery  Leila Hyams  George F. Marion  J. C. Nugent;;The Big House;;9;;;;
